"Source:","C:\Users\sylvain\Documents\dev\trublion\bab_v2\cad\instru_bab_v2.sch"
"Date:","15/11/2019 17:58:31"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","148"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R405","10k","Device:R","Resistors_SMD:R_0603",""
"","","R406","10k","Device:R","Resistors_SMD:R_0603",""
"","","R407","100k","Device:R","Resistors_SMD:R_0603",""
"","","R408","1k","Device:R","Resistors_SMD:R_0603",""
"","","R409","100k","Device:R","Resistors_SMD:R_0603",""
"","","R410","1k","Device:R","Resistors_SMD:R_0603",""
"","","R411","1k","Device:R","Resistors_SMD:R_0603",""
"","","R412","10m","Device:R","Resistors_SMD:R_2512",""
"","","R413","10k","Device:R","Resistors_SMD:R_0603",""
"","","R414","1","Device:R","Resistors_SMD:R_1206",""
"","","R415","1","Device:R","Resistors_SMD:R_2512",""
"","","R416","1","Device:R","Resistors_SMD:R_2512",""
"","","R417","1","Device:R","Resistors_SMD:R_2512",""
"","","R418","10k","Device:R","Resistors_SMD:R_0603",""
"","","R419","10k","Device:R","Resistors_SMD:R_0603",""
"","","U201","TL072","instru_bab_v2-rescue:TL072-linear","SMD_Packages:SOIC-8-N",""
"","","U202","LM1458","instru_bab_v2-rescue:LM1458","SMD_Packages:SOIC-8-N",""
"","","U203","TL072","instru_bab_v2-rescue:TL072-linear","SMD_Packages:SOIC-8-N",""
"","","U301","LM2903","instru_bab_v2-rescue:LM2903-linear","SMD_Packages:SOIC-8-N",""
"","","U302","LM2903","instru_bab_v2-rescue:LM2903-linear","SMD_Packages:SOIC-8-N",""
"","","U401","LM2902","instru_bab_v2-rescue:LM2902-linear","SMD_Packages:SOIC-14_N",""
"","","U402","BTN8980TA","instru_bab_v2-rescue:BTN8980TA","TO_SOT_Packages_SMD:TO-263-7_TabPin8",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","10","C201, C202, C203, C205, C206, C208, C212, C216, C217, C220","1u","Device:C","Capacitors_SMD:C_1206",""
"2","9","C204, C209, C213, C215, C302, C303, C405, C407, C408","100n","Device:C","Capacitors_SMD:C_0603",""
"3","2","C207, C401","10u","Device:CP","Capacitors_SMD:CP_Elec_4x4.5",""
"4","3","C210, C411, C412","220n","Device:C","Capacitors_SMD:C_0805",""
"5","3","C211, C214, C218","220p","Device:C","Capacitors_SMD:C_0603",""
"6","1","C221","6u8","Device:CP","Capacitors_SMD:CP_Elec_4x4.5",""
"7","2","C301, C403","10n","Device:C","Capacitors_SMD:C_0603",""
"8","1","C402","1n","Device:C","Capacitors_SMD:C_0603",""
"9","3","C404, C409, C410","33u 35V","Device:CP","Capacitors_SMD:CP_Elec_6.3x5.3",""
"10","4","C406, C413, C414, C415","220u 35V","Device:CP","Capacitors_SMD:CP_Elec_8x10",""
"11","1","D101","LED_POWER","Device:LED","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"12","1","D102","LED_SIGNAL","Device:LED","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"13","4","D103, D201, D401, D402","BAS21","instru_bab_v2-rescue:BAS21","TO_SOT_Packages_SMD:SOT-23",""
"14","2","D301, D302","BAV23S","Device:D_x2_Serial_AKC","TO_SOT_Packages_SMD:SOT-23",""
"15","1","D403","BAT54A","instru_bab_v2-rescue:BAT54A","TO_SOT_Packages_SMD:SOT-23",""
"16","1","D404","BZX84","instru_bab_v2-rescue:BZX84","TO_SOT_Packages_SMD:SOT-23",""
"17","1","IC401","TL431","instru_bab_v2-rescue:TL431","TO_SOT_Packages_SMD:SOT-23",""
"18","2","J101, J103","L712RA","instru_bab_v2-rescue:L712RA","flax_lib:L712RA_2.5mm",""
"19","1","J102","AUDIO_IN","instru_bab_v2-rescue:COMBO_XLR_JACK_9pins","flax_lib:NEUTRIK_NCJ9FI-V",""
"20","1","J104","REAN_RJ3VM","instru_bab_v2-rescue:REAN_RJ3VM","flax_lib:REAN_RJ3VM",""
"21","1","J105","AUDIO_BYPASS_XLR","instru_bab_v2-rescue:XLR3-conn","flax_lib:NC3MAAV-0",""
"22","1","J106","CONN_LEDS_B","instru_bab_v2-rescue:CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"23","1","J107","CONN_SW_B","instru_bab_v2-rescue:CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"24","1","J108","PAD CONNB","instru_bab_v2-rescue:Conn_02x03_Odd_Even-conn","flax_lib:Multicomp_sub-miniature_DPDT",""
"25","2","J109, J113","CONN_01X09","instru_bab_v2-rescue:CONN_01X09","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm",""
"26","1","J110","GAIN POT","instru_bab_v2-rescue:Conn_01x03-conn","flax_lib:ALPS_RK09L",""
"27","1","J111","THRESHOLD POT","instru_bab_v2-rescue:Conn_01x03-conn","flax_lib:ALPS_RK09L",""
"28","1","J112","CONN_02X02","instru_bab_v2-rescue:CONN_02X02","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm",""
"29","1","J114","CONN_LEDS_A","instru_bab_v2-rescue:CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"30","1","J115","MIN POT","instru_bab_v2-rescue:Conn_01x03-conn","flax_lib:ALPS_RK09L",""
"31","1","J201","PAD -20dB CONNA","instru_bab_v2-rescue:CONN_02X03","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"32","1","L401","100u 3A","Device:L","flax_lib:Inductor_Coilcraft_MSS1210",""
"33","6","N101, N102, N401, N402, N403, N404","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"34","1","Q101","PDTA123YT","instru_bab_v2-rescue:PDTA123YT","TO_SOT_Packages_SMD:SOT-23",""
"35","1","Q201","Q_NPN_BEC","Device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-23",""
"36","1","Q301","DTC114E","instru_bab_v2-rescue:DTC114E-transistors","TO_SOT_Packages_SMD:SOT-23",""
"37","2","Q302, Q303","DTA114E","instru_bab_v2-rescue:DTA114E-transistors","TO_SOT_Packages_SMD:SOT-23",""
"38","1","Q401","IRFR5305","Device:Q_PMOS_GDSD","TO_SOT_Packages_SMD:TO-252-3_TabPin4",""
"39","2","R101, R106","330","Device:R","Resistors_SMD:R_0805",""
"40","4","R102, R103, R219, R221","0","Device:R","Resistors_SMD:R_0603",""
"41","15","R104, R105, R203, R204, R206, R208, R209, R211, R212, R223, R224, R226, R408, R410, R411","1k","Device:R","Resistors_SMD:R_0603",""
"42","5","R201, R202, R207, R213, R218","1M","Device:R","Resistors_SMD:R_0603",""
"43","1","R205","22k","Device:R","Resistors_SMD:R_0603",""
"44","14","R210, R214, R216, R217, R227, R307, R401, R402, R404, R405, R406, R413, R418, R419","10k","Device:R","Resistors_SMD:R_0603",""
"45","3","R215, R304, R403","4k7","Device:R","Resistors_SMD:R_0603",""
"46","5","R220, R305, R311, R407, R409","100k","Device:R","Resistors_SMD:R_0603",""
"47","5","R222, R225, R301, R306, R308","47k","Device:R","Resistors_SMD:R_0603",""
"48","1","R302","33k","Device:R","Resistors_SMD:R_0603",""
"49","1","R303","3k3","Device:R","Resistors_SMD:R_0603",""
"50","2","R309, R310","100","Device:R","Resistors_SMD:R_0603",""
"51","1","R412","10m","Device:R","Resistors_SMD:R_2512",""
"52","1","R414","1","Device:R","Resistors_SMD:R_1206",""
"53","3","R415, R416, R417","1","Device:R","Resistors_SMD:R_2512",""
"54","2","U201, U203","TL072","instru_bab_v2-rescue:TL072-linear","SMD_Packages:SOIC-8-N",""
"55","1","U202","LM1458","instru_bab_v2-rescue:LM1458","SMD_Packages:SOIC-8-N",""
"56","2","U301, U302","LM2903","instru_bab_v2-rescue:LM2903-linear","SMD_Packages:SOIC-8-N",""
"57","1","U401","LM2902","instru_bab_v2-rescue:LM2902-linear","SMD_Packages:SOIC-14_N",""
"58","1","U402","BTN8980TA","instru_bab_v2-rescue:BTN8980TA","TO_SOT_Packages_SMD:TO-263-7_TabPin8",""
